"orderfield","Summary_sp","Year","TRIP_ID","Common_Name","Scientific_Name","Total_Count","Total_weight","SABLE_SET_TYPE"
5,"Roundfish Species",2012,73190,"Sablefish","ANOPLOPOMA FIMBRIA",,41994,"StRS"
5,"Roundfish Species",2012,73190,"Spiny dogfish","SQUALUS ACANTHIAS",,2286,"StRS"
5,"Roundfish Species",2012,73190,"Pectoral rattail","ALBATROSSIA PECTORALIS",,976,"StRS"
5,"Roundfish Species",2012,73190,"Lingcod","OPHIODON ELONGATUS",,722,"StRS"
5,"Roundfish Species",2012,73190,"Pacific grenadier","CORYPHAENOIDES ACROLEPIS",,695,"StRS"
5,"Roundfish Species",2012,73190,"Pacific flatnose","ANTIMORA MICROLEPIS",,20,"StRS"
5,"Roundfish Species",2012,73190,"Pink snailfish","PARALIPARIS ROSACEUS",,9,"StRS"
5,"Roundfish Species",2012,73190,"Blob sculpin","PSYCHROLUTES PHRICTUS",,7,"StRS"
5,"Roundfish Species",2012,73190,"Walleye pollock","THERAGRA CHALCOGRAMMA",,3,"StRS"
5,"Roundfish Species",2012,73190,"Pacific cod","GADUS MACROCEPHALUS",,1,"StRS"
5,"Roundfish Species",2012,73190,"Darkfin sculpin","MALACOCOTTUS ZONURUS",2,,"StRS"
5,"Roundfish Species",2012,73190,"Black hagfish","EPTATRETUS DEANI",1,,"StRS"
5,"Roundfish Species",2012,73190,"Sand lances","AMMODYTIDAE",1,,"StRS"
4,"Rockfish Species",2012,73190,"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",,1563,"StRS"
4,"Rockfish Species",2012,73190,"Redbanded rockfish","SEBASTES BABCOCKI",,320,"StRS"
4,"Rockfish Species",2012,73190,"Shortraker rockfish","SEBASTES BOREALIS",,234,"StRS"
4,"Rockfish Species",2012,73190,"Yelloweye rockfish","SEBASTES RUBERRIMUS",,121,"StRS"
4,"Rockfish Species",2012,73190,"Shortspine thornyhead","SEBASTOLOBUS ALASCANUS",,76,"StRS"
4,"Rockfish Species",2012,73190,"Yellowmouth rockfish","SEBASTES REEDI",,3,"StRS"
4,"Rockfish Species",2012,73190,"Rosethorn rockfish","SEBASTES HELVOMACULATUS",,3,"StRS"
4,"Rockfish Species",2012,73190,"Longspine thornyhead","SEBASTOLOBUS ALTIVELIS",,3,"StRS"
4,"Rockfish Species",2012,73190,"Aurora rockfish","SEBASTES AURORA",,2,"StRS"
4,"Rockfish Species",2012,73190,"Greenstriped rockfish","SEBASTES ELONGATUS",,1,"StRS"
4,"Rockfish Species",2012,73190,,"SEBASTES",,1,"StRS"
4,"Rockfish Species",2012,73190,"Sharpchin rockfish","SEBASTES ZACENTRUS",1,,"StRS"
3,"Flatfish Species",2012,73190,"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",,2669,"StRS"
3,"Flatfish Species",2012,73190,"Arrowtooth flounder","ATHERESTHES STOMIAS",,1654,"StRS"
3,"Flatfish Species",2012,73190,"Dover sole","MICROSTOMUS PACIFICUS",,30,"StRS"
3,"Flatfish Species",2012,73190,"Deepsea sole","EMBASSICHTHYS BATHYBIUS",1,,"StRS"
2,"Invertebrate Species",2012,73190,"Grooved Tanner Crab","CHIONOECETES TANNERI",,329,"StRS"
2,"Invertebrate Species",2012,73190,,"PARALOMIS MULTISPINA",,93,"StRS"
2,"Invertebrate Species",2012,73190,"Red Queen Crab","LITHODES COUESI",,59,"StRS"
2,"Invertebrate Species",2012,73190,,"ALLOCENTROTUS FRAGILIS",,22,"StRS"
2,"Invertebrate Species",2012,73190,"Oregontriton","FUSITRITON OREGONENSIS",,12,"StRS"
2,"Invertebrate Species",2012,73190,,"NEPTUNEIDAE",,4,"StRS"
2,"Invertebrate Species",2012,73190,"Brown box crab","LOPHOLITHODES FORAMINATUS",,3,"StRS"
2,"Invertebrate Species",2012,73190,"Giant pacific octopus","ENTEROCTOPUS DOFLEINI",,3,"StRS"
2,"Invertebrate Species",2012,73190,"Box crabs","LOPHOLITHODES",,2,"StRS"
2,"Invertebrate Species",2012,73190,"Fish-eating star","STYLASTERIAS FORRERI",,1,"StRS"
2,"Invertebrate Species",2012,73190,"Brown king crab","PARALITHODES BREVIPES",,1,"StRS"
2,"Invertebrate Species",2012,73190,,"RATHBUNASTER CALIFORNICUS",,1,"StRS"
2,"Invertebrate Species",2012,73190,"Anemone","ACTINIARIA",,1,"StRS"
2,"Invertebrate Species",2012,73190,"Golden king crab","LITHODES AEQUISPINA",,1,"StRS"
2,"Invertebrate Species",2012,73190,"Octopus","OCTOPUS",,1,"StRS"
2,"Invertebrate Species",2012,73190,"Heart urchins","ATELOSTOMATA",,1,"StRS"
2,"Invertebrate Species",2012,73190,,"HETEROZONIAS ALTERNATUS",,1,"StRS"
2,"Invertebrate Species",2012,73190,"Mud star","CTENODISCUS CRISPATUS",12,,"StRS"
2,"Invertebrate Species",2012,73190,"Sea lilies and feather stars","CRINODEA",12,,"StRS"
2,"Invertebrate Species",2012,73190,,"ASTERONYX",11,,"StRS"
2,"Invertebrate Species",2012,73190,,"OPHIACANTHA",10,,"StRS"
2,"Invertebrate Species",2012,73190,"Brittle stars","OPHIURAE",5,,"StRS"
2,"Invertebrate Species",2012,73190,,"ZOROASTER EVERMANNI",2,,"StRS"
2,"Invertebrate Species",2012,73190,,"STYLASTERIAS",2,,"StRS"
2,"Invertebrate Species",2012,73190,"Hermit crabs","PAGURIDAE",2,,"StRS"
2,"Invertebrate Species",2012,73190,,"NEARCHASTER ACICULOSUS",2,,"StRS"
2,"Invertebrate Species",2012,73190,"Soft sea cucumber","PSEUDOSTICHOPUS MOLLIS",2,,"StRS"
2,"Invertebrate Species",2012,73190,"Prawn","PANDALUS PLATYCEROS",2,,"StRS"
2,"Invertebrate Species",2012,73190,"Starfish","ASTERIODEA",2,,"StRS"
2,"Invertebrate Species",2012,73190,"Sponges","PORIFERA",1,,"StRS"
2,"Invertebrate Species",2012,73190,,"AMPHIOPHIURA PONDEROSA",1,,"StRS"
2,"Invertebrate Species",2012,73190,"Inshore Tanner Crab","CHIONOECETES BAIRDI",1,,"StRS"
2,"Invertebrate Species",2012,73190,"Sea urchins","ECHINACEA",1,,"StRS"
2,"Invertebrate Species",2012,73190,"Pandalid shrimp","PANDALUS",1,,"StRS"
2,"Invertebrate Species",2012,73190,"Rose starfish","CROSSASTER PAPPOSUS",1,,"StRS"
2,"Invertebrate Species",2012,73190,"Scaly sea cucumber","PSOLUS SQUAMATUS",1,,"StRS"
2,"Invertebrate Species",2012,73190,"Sea cucumber","HOLOTHUROIDEA",1,,"StRS"
2,"Invertebrate Species",2012,73190,,"TARSASTER ALASCANUS",1,,"StRS"
2,"Invertebrate Species",2012,73190,,"TRIOPHA CATALINAE",1,,"StRS"
2,"Invertebrate Species",2012,73190,"Blood star","HENRICIA LEVIUSCULA",1,,"StRS"
2,"Invertebrate Species",2012,73190,,"OPHIURA SARSI",1,,"StRS"
2,"Invertebrate Species",2012,73190,,"SOLASTERIDAE",1,,"StRS"
2,"Invertebrate Species",2012,73190,"Cookie star","CERAMASTER PATAGONICUS",1,,"StRS"
2,"Invertebrate Species",2012,73190,"Decorator crab","OREGONIA GRACILIS",1,,"StRS"
